,2D bin minimum (au),2D bin maximum (au),3D distance (au),u 3D distance (au),3D distance kink (au),u 3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","u t_ff streamline (yr, M_env = 0.18 Msun)","t_ff streamline kink (yr, M_env = 0.18 Msun)","u t_ff streamline kink (yr, M_env = 0.18 Msun)","deltat_ff streamline (yr, M_env = 0.18 Msun)",Mdot_in wo kink (Msun yr-1),u Mdot_in wo kink (Msun yr-1),Mdot_in w kink (Msun yr-1),u Mdot_in w kink (Msun yr-1)
0,200.0,560.0,435.0,10.0,435.0,10.0,0.0012716867682976262,1.4810571914610509e-05,0.0012716867682976262,1.4810571914610509e-05,456.60540938776575,16.70160366031638,456.60540938776575,16.70160366031638,601.7858241929331,2.1131883091515336e-06,2.4611034888489197e-08,2.1131883091515336e-06,2.4611034888489197e-08
1,380.0,740.0,625.0,10.0,625.0,10.0,0.0010009170915984116,1.425649508451353e-05,0.0010009170915984116,1.425649508451353e-05,797.9669248117855,19.066800018951994,797.9669248117855,19.066800018951994,678.3879508219934,1.475434654146811e-06,2.1015253981500014e-08,1.475434654146811e-06,2.1015253981500014e-08
2,560.0,920.0,795.0,10.0,795.0,10.0,0.0007995887708829334,1.4429350732673915e-05,0.0007995887708829334,1.4429350732673915e-05,1139.5371345330855,20.974020873969266,1139.5371345330855,20.974020873969266,767.2415529439619,1.04216040934547e-06,1.880678995722722e-08,1.04216040934547e-06,1.880678995722722e-08
3,740.0,1100.0,955.0,10.0,965.0,10.0,0.0005418918441314006,1.4307039799252732e-05,0.0006247796174604919,1.5216635206886752e-05,1489.2004516386114,22.608090473736183,1511.9060872361435,22.705635597532137,807.3167429857554,6.712258216363562e-07,1.7721718177601548e-08,7.738965194129707e-07,1.884840781402603e-08
4,920.0,1280.0,1115.0,10.0,1125.0,10.0,0.0002793056611012317,1.2795524965597994e-05,0.0007430709260926911,1.775145733815927e-05,1863.866465602846,24.11132239505855,1888.0679396272549,24.20147402440898,864.9508716011951,3.2291505826704546e-07,1.4793354612049756e-08,8.590903258090484e-07,2.0523081623465857e-08
5,1100.0,1460.0,1335.0,10.0,1275.0,10.0,0.00014692162765452219,1.0283266564495444e-05,0.0010515415935503953,1.9821227619364643e-05,2416.3967643879996,26.08343326232989,2261.6233844929843,25.504357655718195,942.733148936828,1.558464638908834e-07,1.0907929328773947e-08,1.1154180742835621e-06,2.1025279148949127e-08
6,1280.0,1640.0,1585.0,10.0,1445.0,10.0,0.00018883987481405865,1.0096172815919296e-05,0.0012722840814763097,2.0286195321856913e-05,3092.1370961438406,27.94737387461373,2707.7327012924184,26.88183736071187,993.4390902233258,1.9008701859276275e-07,1.0162850360206452e-08,1.2806865503855897e-06,2.042017021627019e-08
7,1460.0,1820.0,1765.0,10.0,1645.0,10.0,0.0005819946394884138,1.4344567737077001e-05,0.001651289750348253,2.1756322265147846e-05,3607.575756504481,29.237903083193032,3261.3648189230626,28.386978863117747,1010.622573730763,5.758773399845523e-07,1.4193793123107596e-08,1.6339331747285593e-06,2.1527643287081262e-08
8,1640.0,2000.0,1895.0,10.0,1814.9999999999998,10.0,0.001077025816787921,1.8294532034553764e-05,0.0016466962120409102,2.1717903662005653e-05,3993.8881533680237,30.120395740125332,3754.7998288633607,29.581898960984745,1053.8205433938444,1.022020137621671e-06,1.736019680887598e-08,1.5625964234268018e-06,2.06087305833523e-08
9,1820.0,2180.0,2055.0,10.0,2045.0,10.0,0.0012934887269866492,2.0516432319202177e-05,0.001353565743808545,2.0912345601641197e-05,4484.685953664098,31.155641627705336,4453.530312036392,31.092523768368665,1124.6225648824873,1.1501536314290536e-06,1.8242949199001673e-08,1.2035733463608569e-06,1.8594990225744172e-08
10,2000.0,2360.0,2245.0,10.0,2245.0,10.0,0.0014326593709187002,2.2013640059122786e-05,0.0014326593709187002,2.2013640059122786e-05,5088.390322510385,32.319640122867895,5088.390322510385,32.319640122867895,1164.2380317448324,1.2305553777276864e-06,1.8908195282137585e-08,1.2305553777276864e-06,1.8908195282137585e-08
11,2180.0,2540.0,2435.0,10.0,2435.0,10.0,0.0017324011891479208,2.3529314535321028e-05,0.0017324011891479208,2.3529314535321028e-05,5713.562879939034,33.42020716085153,5713.562879939034,33.42020716085153,1201.8011013736834,1.4415040784766719e-06,1.9578376578642285e-08,1.4415040784766719e-06,1.9578376578642285e-08
12,2360.0,2720.0,2604.9999999999995,10.0,2604.9999999999995,10.0,0.002008091601790899,2.4900012927265522e-05,0.002008091601790899,2.4900012927265522e-05,6290.191423884065,34.356207071759854,6290.191423884065,34.356207071759854,1237.5186574764418,1.6226758196000178e-06,2.0120919209445972e-08,1.6226758196000178e-06,2.0120919209445972e-08
13,2540.0,2900.0,2785.0,10.0,2785.0,10.0,0.0021362685850400565,2.6029824895788586e-05,0.0021362685850400565,2.6029824895788586e-05,6917.661330254622,35.30258341420085,6917.661330254622,35.30258341420085,1271.5641077320581,1.6800321525670237e-06,2.0470713774876023e-08,1.6800321525670237e-06,2.0470713774876023e-08
14,2720.0,3080.0,2935.0,10.0,2935.0,10.0,0.0018467228171924548,2.529337522584454e-05,0.0018467228171924548,2.529337522584454e-05,7453.283080463272,36.05871969610962,7453.283080463272,36.05871969610962,1267.0127723990352,1.457540805761384e-06,1.9962999408405804e-08,1.457540805761384e-06,1.9962999408405804e-08
